1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
307.9,155.01,125.0,7.77,11.3,23.66,82.98,94.98,176.9,150.07,199.15,146.89,1889.09,402.53,193.15,151.13,204.09,308.96,621.46,290.95,522.59,480.22,234.81,280.71,269.42,169.84,320.61,245.05,245.76,37.78,116.17,113.7,142.3,165.96,151.83,205.5,150.77,94.71,4.95,15.14,47.47,196.01,0.0,104.77,69.35,206.94
307.9,137.0,126.06,7.77,10.24,22.25,78.04,95.34,194.91,138.06,212.92,150.07,1910.27,395.47,186.08,150.07,212.92,318.85,529.65,272.24,568.49,413.13,245.76,275.77,261.29,157.84,247.17,241.87,236.22,36.72,112.29,111.23,141.95,163.84,161.72,211.86,151.13,96.59,5.47,14.84,49.05,225.45,0.0,112.6,73.57,205.84
258.12,125.0,123.94,8.47,9.53,20.48,73.8,90.04,203.03,143.01,263.06,150.07,1938.52,367.22,187.85,150.07,206.92,324.85,451.97,257.41,593.21,298.02,242.23,277.54,235.87,164.9,251.76,234.46,232.69,38.49,109.11,106.64,144.06,158.19,176.55,208.68,152.89,90.79,6.6,15.93,47.83,250.46,0.0,120.03,75.11,202.7
222.81,134.88,121.82,8.83,8.47,19.07,73.8,90.39,188.91,168.08,216.8,151.83,1991.48,367.22,224.92,163.13,199.85,328.03,377.82,265.18,561.43,277.54,229.87,280.71,236.58,197.03,234.11,229.87,223.51,42.02,109.46,87.22,144.42,154.3,181.49,204.8,163.49,86.38,7.68,15.52,46.6,282.23,0.0,122.18,75.52,197.55
264.12,129.94,117.94,8.47,7.42,18.71,74.15,85.45,163.84,151.83,260.94,153.95,2019.73,312.85,221.04,157.84,199.15,360.16,315.32,271.18,515.53,270.47,210.8,277.89,238.34,476.69,207.27,217.16,228.46,41.31,106.28,71.33,142.65,151.13,179.73,198.44,159.95,83.78,8.87,15.02,43.6,304.49,0.0,119.88,73.75,186.16
270.83,116.88,104.87,8.47,7.77,18.01,69.56,85.8,147.95,125.0,224.92,162.07,2079.76,308.96,224.92,171.96,199.15,360.16,263.06,244.35,455.5,313.91,206.56,296.25,231.63,522.59,209.04,207.62,227.75,38.84,108.75,70.27,138.77,148.3,189.61,189.61,148.66,84.27,10.19,15.07,42.5,162.32,0.0,127.71,69.14,194.47
183.97,91.45,91.81,8.12,7.77,17.66,69.91,81.21,143.01,115.11,179.02,169.13,1959.71,293.07,215.04,162.07,213.98,363.69,283.19,208.68,451.97,305.78,201.97,298.37,222.45,395.47,213.27,199.15,217.51,38.84,112.99,88.28,133.82,145.48,185.02,193.15,145.83,77.79,11.78,20.51,40.68,148.31,0.0,124.37,67.76,194.74
94.98,78.39,80.15,7.77,8.12,17.3,69.91,81.57,143.01,134.88,183.97,175.84,1818.47,282.13,217.86,156.07,197.03,374.29,301.9,213.63,434.31,294.13,228.81,276.12,206.21,441.38,205.5,192.79,193.85,40.25,118.29,87.57,129.94,143.71,180.43,188.2,143.01,79.33,13.36,15.6,36.5,178.3,0.0,129.59,69.93,206.92
121.11,74.5,70.97,7.77,8.12,16.95,66.03,81.92,138.06,86.16,140.89,186.08,1691.35,281.07,198.09,141.95,187.14,347.1,304.73,228.81,420.19,266.59,228.46,269.06,189.26,434.31,190.67,178.32,184.67,41.31,118.29,87.92,131.71,132.06,175.49,182.91,137.0,88.11,14.76,26.03,35.81,213.95,0.0,124.81,69.59,203.96
121.11,61.79,63.2,6.0,8.47,16.24,66.38,82.27,134.88,86.51,126.06,187.85,1560.7,274.01,193.15,180.08,181.14,318.14,310.37,211.15,395.47,271.18,237.64,264.12,198.09,348.51,185.38,162.78,189.26,39.55,116.17,74.86,133.82,130.29,167.37,181.49,133.12,94.5,15.58,33.31,35.22,207.56,0.0,163.48,65.74,207.59
174.08,52.61,56.14,6.0,8.47,15.89,66.38,82.63,139.12,75.92,137.0,183.97,1419.46,268.0,203.03,164.9,186.08,395.47,301.55,191.03,377.82,259.53,199.5,266.94,189.61,384.88,183.97,143.01,190.32,37.78,106.64,59.32,128.18,124.29,156.78,182.55,134.88,90.2,16.21,33.03,38.24,245.32,0.0,111.88,61.56,193.67
254.94,48.73,48.37,3.88,8.83,15.54,66.74,82.98,144.06,79.8,134.88,207.98,1288.82,276.83,206.92,151.13,185.02,529.65,305.78,151.48,353.1,257.06,200.21,263.77,181.14,167.02,182.55,122.88,197.03,35.66,113.7,62.85,112.29,124.64,154.3,186.79,137.0,84.11,16.77,32.78,39.13,221.81,0.0,116.85,59.12,191.82
254.94,36.72,48.73,3.18,8.83,14.83,62.85,83.33,139.83,85.45,162.07,223.87,1158.17,258.82,193.15,132.06,167.02,515.53,303.31,147.6,329.8,263.41,217.16,257.76,171.25,158.54,184.32,127.47,213.63,37.78,120.05,61.79,95.34,128.88,139.47,209.39,128.88,81.01,17.39,37.12,39.27,182.66,0.0,155.13,58.68,202.69
237.99,31.07,46.96,3.88,9.18,14.48,63.2,74.15,120.05,75.56,216.1,241.87,1129.92,246.11,193.85,132.06,152.89,589.68,312.14,132.77,312.14,270.47,205.15,233.75,180.79,167.02,193.5,116.88,201.27,42.02,116.17,57.2,87.92,139.47,128.53,218.57,133.12,83.37,18.18,38.52,37.6,168.41,0.0,182.41,58.67,217.11
237.99,34.25,45.55,4.59,9.18,14.12,63.2,65.32,125.0,61.79,199.85,249.99,1091.08,251.05,162.07,140.89,144.06,515.53,331.21,138.77,277.18,273.3,180.43,230.22,176.55,200.91,191.38,120.05,190.32,42.37,106.99,82.98,86.51,127.82,125.0,185.02,134.88,83.49,18.73,37.95,36.8,189.56,0.0,152.01,59.31,234.64
164.9,35.66,42.73,6.36,9.53,13.77,63.56,57.91,122.88,58.61,193.85,251.05,1059.3,231.99,169.84,137.0,131.0,406.07,399.0,157.13,250.35,264.47,194.21,221.75,178.67,228.81,181.85,127.12,184.67,45.2,101.34,102.4,90.04,131.35,119.35,183.97,132.41,78.54,19.42,40.19,36.3,146.99,0.0,132.06,55.43,231.52
182.91,37.43,42.02,7.06,9.53,13.42,63.91,54.02,120.05,68.85,174.08,596.74,1009.87,243.99,165.96,96.04,144.06,413.13,399.0,199.5,197.74,284.95,198.09,222.45,164.54,282.13,185.02,114.4,141.95,42.02,99.93,91.1,94.28,122.53,119.7,182.2,131.35,77.35,18.26,42.82,35.57,179.11,0.0,143.57,60.04,218.05
174.08,39.19,41.31,7.77,9.89,13.06,64.26,50.85,117.94,79.8,159.95,759.17,992.21,249.99,156.07,89.33,138.06,437.84,469.62,187.85,179.02,388.41,196.32,221.75,176.55,193.15,176.55,111.23,130.65,61.09,104.16,75.21,111.23,116.88,137.36,171.61,144.42,76.07,17.94,44.88,34.93,183.13,0.0,130.5,58.54,208.03
164.9,39.19,40.96,8.12,9.89,12.71,60.73,44.49,122.88,77.33,167.02,702.67,953.37,258.82,146.89,98.16,146.89,409.6,519.06,170.19,159.6,381.35,193.15,219.28,159.25,193.5,173.02,99.57,105.93,41.67,102.4,64.26,137.36,112.29,125.7,165.6,144.42,75.96,21.86,42.23,34.56,136.96,0.0,136.73,56.29,204.87
123.94,39.55,40.25,7.77,10.24,12.36,61.09,54.73,121.82,77.68,109.81,593.21,918.06,262.0,144.06,93.92,185.02,451.97,667.36,138.06,154.3,455.5,195.97,199.5,152.89,214.68,185.73,62.15,93.57,40.25,103.11,71.68,147.24,112.29,121.11,157.84,144.42,77.63,20.03,45.07,34.41,132.5,0.0,135.7,55.54,202.22
86.16,39.55,39.9,8.47,10.24,12.01,61.44,45.2,128.88,73.8,140.89,374.29,896.87,259.88,134.88,95.69,200.91,427.25,646.17,115.11,188.56,624.99,175.84,205.5,147.6,186.79,178.67,78.39,87.22,42.73,107.7,83.33,194.21,111.93,116.52,149.36,135.59,75.78,19.13,50.27,33.35,88.86,0.0,149.43,54.79,193.75
75.92,40.25,39.19,8.47,10.59,11.65,61.44,42.02,121.11,77.33,125.0,278.95,882.75,252.11,151.13,104.16,187.85,374.29,497.87,186.44,237.28,628.52,155.72,322.73,157.84,203.03,174.08,84.74,86.86,46.96,100.28,85.45,176.2,128.53,96.04,145.12,135.94,73.08,20.36,45.18,32.24,77.02,0.0,156.09,50.0,190.85
66.38,40.61,38.49,8.12,10.59,11.3,57.91,36.72,114.05,77.68,167.02,282.83,868.63,265.88,138.06,109.11,169.84,328.03,437.84,203.74,301.55,639.11,169.49,381.35,157.84,190.67,180.08,108.05,83.68,58.26,98.16,93.57,190.67,122.53,128.18,155.72,141.59,69.42,20.47,46.38,30.88,76.32,0.0,156.36,46.75,177.75
63.91,42.37,38.84,8.12,10.95,10.95,54.73,36.72,112.99,76.98,159.95,252.11,858.03,264.83,117.94,90.39,164.9,344.98,522.59,204.44,280.71,614.39,187.5,353.1,149.71,169.84,157.84,143.01,84.74,55.44,98.87,85.45,201.62,102.4,149.01,172.31,141.59,66.04,17.01,46.79,30.36,71.2,0.0,132.75,42.3,171.04
49.79,42.73,38.84,7.06,10.95,12.01,51.91,34.6,88.28,75.92,127.12,248.94,854.5,262.0,115.11,82.63,173.02,356.63,480.22,172.31,238.34,617.93,183.26,374.29,147.6,167.02,161.37,137.71,70.97,49.43,89.33,71.33,197.03,96.04,140.18,198.8,139.12,61.6,16.93,47.69,32.98,63.6,0.0,129.2,38.53,167.43
49.79,43.43,38.49,7.77,11.3,13.42,52.26,32.49,93.57,68.5,138.06,243.99,843.91,257.06,104.87,118.99,157.84,522.59,402.53,176.9,218.57,543.77,179.37,395.47,151.13,274.36,161.37,152.54,70.27,49.08,84.74,73.09,198.09,76.27,131.35,162.07,121.82,52.99,15.64,49.32,34.87,60.71,0.0,130.71,35.32,160.83
46.26,44.84,38.49,8.12,10.95,14.83,49.43,34.96,98.87,66.38,129.94,310.02,833.32,254.94,92.87,133.12,127.82,554.37,349.22,165.6,239.05,473.15,197.38,277.54,132.41,247.52,156.07,150.07,61.79,40.96,93.57,85.45,186.79,86.51,134.18,138.77,117.58,42.45,10.28,52.44,33.32,60.29,0.0,107.0,31.47,160.1
46.26,48.73,38.13,8.12,10.59,15.89,46.61,35.31,104.87,74.86,145.12,360.16,822.72,245.05,88.28,115.11,116.17,519.06,322.03,155.36,266.24,360.16,188.91,239.4,137.36,233.75,162.78,155.72,64.26,40.61,100.28,111.23,192.44,79.09,132.77,137.36,116.52,38.51,8.89,52.25,32.76,61.82,0.0,104.68,29.85,152.18
