Year, 1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
FA_Mag,713.007257576977,685.987755240179,None,533.0176543094477,1439.9891040073535,691.1388329761883,521.0018621218737,687.9885399658331,934.534569551264,None,1639.9610691599205,None,1499.999590070785,572.0287144165457,None,None,None,None,1939.796581321346,1169.9642323860894,970.9897413567064,None,653.9684675681093,None,None,None,568.9800741737389,476.000266415232,None,None,None,None,None,1109.9167081653152,627.2513828067595,None,None,None,387.99973499395276,None,None,None,550.9569196093769,None,375.0009593251617,None
FA_Tim,70,46,None,60,67,51,0,61,56,None,72,None,74,22,None,None,None,None,50,66,60,None,4,None,None,None,54,9,None,None,None,None,None,45,25,None,None,None,0,None,None,None,5,None,0,None
FA_Dur,7,5,None,5,4,4,2,5,5,None,6,None,5,2,None,None,None,None,2,7,10,None,3,None,None,None,3,4,None,None,None,None,None,6,5,None,None,None,1,None,None,None,1,None,2,None
Wet_BFL_Mag_10,704.2,638.8,370.0,347.9,1950.0,1033.9,None,599.5,1354.0,1186.0,1600.0,1345.0,1285.0,623.1,623.8,497.0,841.0,691.2,1030.0,1030.0,1438.0,656.7,956.0,728.0,752.5,None,546.4,435.6,389.0,462.8,867.6,None,685.6,1154.0,865.8,800.2,268.6,570.9,None,333.8,506.0,631.5,933.4,None,1322.0,429.0
Wet_BFL_Mag_50,1850.0,897.0,456.0,1095.0,2860.0,3485.0,None,1180.0,2870.0,2120.0,4800.0,2360.0,5140.0,827.5,1470.0,627.0,1660.0,1510.0,1360.0,2810.0,2990.0,781.0,2170.0,1060.0,1635.0,None,944.5,471.0,551.0,821.0,2250.0,None,1020.0,1940.0,2180.0,1435.0,467.0,763.0,None,553.0,847.0,961.0,1900.0,None,2515.0,565.0
Wet_Tim,93,46,33,110,102,103,None,95,105,94,87,103,89,45,46,54,82,56,72,97,115,26,106,69,108,None,78,29,111,52,92,None,55,78,104,73,9,61,None,38,50,36,68,None,105,30
Wet_BFL_Dur,103,118,53,50,61,64,None,186,79,55,81,72,54,60,59,81,66,57,81,61,75,32,55,78,122,None,74,47,44,93,59,None,115,83,45,82,314,32,None,299,121,128,95,None,72,130
Peak_2,2530.0,2530.0,2530.0,2530.0,2530.0,2530.0,2530.0,2530.0,2530.0,2530.0,2530.0,2530.0,2530.0,2530.0,2530.0,2530.0,2530.0,2530.0,2530.0,2530.0,2530.0,2530.0,2530.0,2530.0,2530.0,2530.0,2530.0,2530.0,2530.0,2530.0,2530.0,2530.0,2530.0,2530.0,2530.0,2530.0,2530.0,2530.0,2530.0,2530.0,2530.0,2530.0,2530.0,2530.0,2530.0,2530.0
Peak_5,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0
Peak_10,6875.0,6875.0,6875.0,6875.0,6875.0,6875.0,6875.0,6875.0,6875.0,6875.0,6875.0,6875.0,6875.0,6875.0,6875.0,6875.0,6875.0,6875.0,6875.0,6875.0,6875.0,6875.0,6875.0,6875.0,6875.0,6875.0,6875.0,6875.0,6875.0,6875.0,6875.0,6875.0,6875.0,6875.0,6875.0,6875.0,6875.0,6875.0,6875.0,6875.0,6875.0,6875.0,6875.0,6875.0,6875.0,6875.0
Peak_Dur_2,20,None,None,None,69,50,None,2,46,29,86,57,71,None,None,None,8,8,27,35,59,None,32,None,14,None,8,None,None,None,46,None,None,17,10,1,None,None,None,None,None,None,27,None,53,None
Peak_Dur_5,None,None,None,None,26,None,None,None,2,4,31,6,32,None,None,None,1,None,None,2,9,None,None,None,None,None,None,None,None,None,6,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Peak_Dur_10,None,None,None,None,14,None,None,None,None,None,13,2,13,None,None,None,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Peak_Fre_2,4,None,None,None,3,2,None,1,2,1,1,2,2,None,None,None,1,2,2,2,2,None,2,None,3,None,2,None,None,None,5,None,None,3,1,1,None,None,None,None,None,None,3,None,4,None
Peak_Fre_5,None,None,None,None,1,None,None,None,1,2,4,1,2,None,None,None,1,None,None,1,2,None,None,None,None,None,None,None,None,None,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Peak_Fre_10,None,None,None,None,3,None,None,None,None,None,2,1,2,None,None,None,None,None,None,None,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
SP_Mag,2040.0,1680.0,646.0,1380.0,8770.0,4670.0,642.0,1670.0,4240.0,5840.0,8070.0,5010.0,9120.0,1050.0,2500.0,1800.0,3660.0,2680.0,5480.0,4650.0,7240.0,892.0,4850.0,2420.0,1900.0,683.0,2660.0,619.0,924.0,1720.0,6270.0,981.0,1180.0,3580.0,2490.0,2560.0,726.0,1660.0,743.0,743.0,2130.0,2410.0,3290.0,660.0,4340.0,577.0
SP_Tim,196,164,86,160,163,167,321,281,184,149,168,175,143,105,105,135,148,113,153,158,190,58,161,147,230,127,152,76,155,145,151,318,170,161,149,155,323,93,332,337,171,164,163,81,177,160
SP_Dur,159,94,204,None,58,47,39,85,74,187,35,57,68,260,220,203,190,145,124,43,37,147,184,116,59,95,63,247,114,193,188,42,132,61,77,177,19,87,15,27,195,47,134,103,98,37
SP_ROC,0.03323842635841531,0.045514616978001896,0.030850163899756793,None,0.042826552462526764,0.057659574468085104,0.044169611307420496,0.04065985130111524,0.048152328897338406,0.040172910662824204,0.057177543914762166,0.06587837837837837,0.07499840540885316,0.03898650291828794,0.03110047846889952,0.04712041884816754,0.047619047619047616,0.043478260869565216,0.05647730908703072,0.06422018348623854,0.065625,0.027771604663910987,0.04265883331600291,0.054219252363357166,0.03723404255319149,0.034782608695652174,0.05782792665726375,0.019940357852882704,0.036458333333333336,0.030707070707070707,0.041017081103905104,0.022376821011775655,0.044002761221672224,0.05571073867163252,0.04788324420677362,0.03767123287671233,0.04772081893641526,0.037037037037037035,0.1150397857754201,0.0446065984970574,0.037432760714905436,0.05136897583634821,0.051094890510948905,0.04067843353557639,0.04519774011299435,0.03859151121924845
DS_Mag_50,464.0,320.0,340.5,None,472.5,None,463.0,795.0,499.5,671.0,799.5,871.0,470.5,541.0,420.0,569.0,571.0,528.0,614.0,586.5,504.0,385.0,666.0,540.0,None,368.0,342.0,358.0,372.0,569.0,None,579.0,590.0,418.0,418.0,526.0,505.0,None,475.0,558.5,530.5,383.0,None,226.0,448.0,206.0
DS_Mag_90,538.9999999999999,358.0,437.5,None,690.3,None,647.0,914.6,645.6000000000001,1106.0000000000002,1110.0,1370.0,652.1,578.0,462.20000000000005,752.3000000000001,623.7,711.1,934.5,909.1,634.6,830.0000000000002,719.2,683.0,None,531.0,456.29999999999995,414.70000000000005,420.0,700.3000000000001,None,629.0,812.7,803.5,517.8,618.4000000000001,535.0,None,528.8,709.6,554.0,646.6000000000001,None,642.6000000000001,535.0,475.20000000000005
DS_Tim,355,258,290,None,221,214,360,366,258,336,203,232,211,365,325,338,338,258,277,201,227,205,345,263,289,222,215,323,269,338,339,360,302,222,226,332,342,180,347,364,366,211,297,184,275,197
DS_Dur_WS,57,141,186,None,248,None,101,105,202,117,266,223,200,47,95,110,84,180,186,280,165,267,90,211,None,222,180,154,149,120,None,61,142,248,213,43,85,None,57,52,36,223,None,287,121,199
