1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
None,365.0,250.0,500.0,None,240.0,1610.0,250.0,450.0,540.0,520.0,537.0,421.0,730.0,564.0,562.0,910.0,845.0,1012.0,618.0,1030.0,584.0,921.0,663.0,993.0,570.0,702.0,632.0,848.0,600.0,836.0,672.0,1024.0,817.6,953.0,726.0,547.1,792.6,1276.0,1020.0,699.6,880.2,728.2,736.4,699.6,681.3,862.8,516.9,647.7,623.4,543.5,571.7,742.3,484.0,999.0,794.1,874.5,699.5,1009.0,1453.9,562.7,925.2,1071.35,600.93,833.05,801.0,1134.1,985.34,1647.6,1177.4,930.9,662.459982,1180.985211,628.9516592,636.04,930.39,1248.523508,999.3675921,792.3767358,1101.898431,1199.020541,1883.603616,1653.792561,1759.563192,1427.29,1166.718927,1099.178269,1424.387232,1369.437097,1337.77486,1274.883408,1166.084148,1030.387827,985.8191344,1218.816592,1197.245501,905.595744,905.5,847.099964,744.7,596.8,607.0,709.9,1076.187196,774.5084938,668.8,678.8998378,646.4458792,530.0,354.6335076,804.1999639,617.1
None,365.0,250.0,500.0,None,240.0,1208.0,250.0,450.0,550.0,525.0,517.0,520.0,730.0,570.0,573.0,888.0,845.0,992.0,585.0,986.0,584.0,897.0,651.0,1140.0,570.0,743.0,612.0,828.0,600.0,805.0,734.0,1011.0,896.6,1014.0,789.0,519.4,805.8,1218.0,911.5,698.4,844.2,764.2,742.2,811.6,633.3,827.8,524.9,956.7,646.5,589.5,494.1,699.2,487.0,1072.0,730.1,779.5,640.5,1019.2,1474.9,550.5,699.2,1049.4,555.55,863.2,835.0,951.8,1049.38,1582.6,1151.2,862.1,727.419982,936.17,677.05,693.020018,1085.583264,1233.356483,1416.451001,846.8791164,1031.366528,1215.237728,1768.631677,1619.33633,1812.975446,1513.055654,1194.21,1009.821452,1134.091416,1104.949685,1641.395492,1248.833435,1165.884148,1184.237908,969.4299099,1284.707917,1217.537295,952.8623986,912.5251397,1083.920685,732.5208116,615.6,788.745789,732.8665285,1030.549721,809.7917044,794.8498468,766.2664383,848.2955096,636.0,356.5,789.0,590.1
None,380.0,250.0,500.0,None,240.0,833.0,250.0,450.0,560.0,990.0,500.0,528.0,715.0,585.0,584.0,870.0,845.0,985.0,570.0,940.0,585.0,983.0,730.0,772.0,522.0,762.0,550.0,851.0,650.0,774.0,693.0,954.0,797.0,799.0,892.0,489.7,841.8,1308.0,915.5,675.6,1182.2,765.2,645.9,901.0,710.3,751.8,589.1,1516.7,647.5,573.5,575.6,694.2,502.0,1092.0,764.1,774.5,660.5,992.4,1480.0,543.9,703.8,1122.0,532.55,812.3,861.0,1080.0,980.0,1223.7,845.3,984.3,732.1,1088.889467,698.55,706.1165916,868.0334174,1026.618278,1236.582832,893.8624888,934.6292155,1165.607953,1728.316519,1654.117186,1502.054779,1715.598323,1212.47248,921.6064564,1181.984725,1150.962272,1448.470839,1228.092453,1333.899856,1459.479549,906.3591434,1242.79964,1153.862435,970.5332552,826.8293056,1036.712534,724.399982,637.9877186,905.9207575,740.0503335,1019.045555,717.3958521,736.1622003,882.9748243,763.7496665,591.3208656,416.1376555,730.6165555,611.1
None,550.0,275.0,500.0,None,300.0,955.0,250.0,450.0,490.0,1107.0,500.0,525.0,675.0,573.0,591.0,935.0,708.0,898.0,555.0,868.0,580.0,972.0,719.0,816.0,581.0,776.0,867.0,742.0,650.0,768.0,733.0,941.0,778.0,779.9,903.0,496.4,958.8,1248.0,1013.5,646.6,818.2,777.2,555.2,868.0,693.3,809.8,567.1,1262.7,649.5,503.5,520.7,696.2,524.0,1026.0,946.1,802.5,634.5,938.4,1501.1,574.7,710.2,1129.8,549.53,758.9,793.0,1084.0,951.58,1137.5,833.1,946.3,661.02,8213.520508,680.6749414,712.91,993.6133273,1019.544995,1446.367033,825.7875924,1130.419206,1306.324383,1439.291254,1755.506113,1503.333805,1902.063968,1167.014211,888.5332462,1099.993309,1076.341677,1190.471055,1250.554355,1052.488476,1491.429504,996.9874482,1168.949901,1077.350117,973.9665104,812.9750406,904.2454646,693.845807,676.2706583,770.8082958,744.7706583,1040.195528,772.6417854,961.2002523,775.8916862,397.004184,576.608422,412.3541208,749.4582507,580.1
505.0,635.0,275.0,None,350.0,300.0,735.0,250.0,450.0,490.0,1075.0,508.0,513.0,675.0,585.0,584.0,930.0,718.0,902.0,550.0,855.0,580.0,1095.0,724.0,804.0,561.0,758.0,701.0,648.0,650.0,786.0,725.0,856.0,821.6,988.0,991.0,744.7,909.8,1236.0,946.5,633.6,755.4,837.2,550.4,775.0,708.3,820.8,541.1,1058.7,677.3,527.5,649.6,678.3,510.0,955.0,728.1,900.5,575.5,900.0,1503.1,583.7,635.0,1125.0,548.53,810.2,861.0,956.0,914.0,1147.6,904.97,840.2,698.17,916.8354363,666.9450135,716.92,786.16,1025.275753,1206.016808,1052.024725,1001.09,1296.599027,1326.662714,1566.694238,1459.416709,1926.55248,1049.537502,826.9492696,1155.941731,954.3541569,1123.070676,1243.8,956.9125608,1477.054553,981.2168439,1244.583282,1103.591704,959.1790082,778.9082057,845.3166456,707.4624527,768.2536522,786.8707665,752.8500991,998.0455547,582.7125698,3092.905069,687.1166456,417.1,567.4917583,343.7,754.6458071,None
468.0,559.0,275.0,None,350.0,300.0,350.0,250.0,540.0,478.0,999.0,529.0,501.0,680.0,595.0,578.0,925.0,730.0,899.0,550.0,850.0,570.0,934.0,796.0,775.0,550.0,740.0,723.0,701.0,650.0,794.0,720.0,762.0,753.0,985.0,876.0,661.7,887.8,1092.0,835.8,624.4,800.4,759.6,671.3,722.8,719.0,871.0,583.4,996.0,681.7,552.2,705.1,618.1,486.1,917.0,961.8,752.0,587.5,892.0,1495.6,581.0,657.6,1140.4,597.13,793.1,872.7,831.0,853.0,1295.3,964.0,1835.2,810.13,903.9354363,704.7933183,656.72,803.5,952.6225428,996.0590983,821.8209918,911.3066186,1031.858323,1417.487331,1689.472642,1417.76706,1308.840694,1149.174851,934.661551,1168.637169,1167.391524,1382.587484,1261.221046,906.0874212,1444.431118,1103.508332,1299.562381,1138.995852,884.8999098,767.8043282,880.183084,705.8374752,656.1040578,918.6458071,722.7335797,1012.795528,635.7,839.2582147,699.7791163,511.8,515.0,303.8,738.0,None
468.0,404.0,275.0,None,350.0,300.0,350.0,250.0,565.0,478.0,829.0,525.0,513.0,704.0,610.0,570.0,882.0,750.0,900.0,555.0,850.0,570.0,906.0,825.0,777.0,550.0,707.0,784.0,753.0,650.0,756.0,838.0,829.0,675.6,826.0,873.0,641.7,783.9,1025.0,908.8,787.8,847.4,797.6,625.1,754.2,485.0,746.0,557.4,677.0,648.8,596.2,648.2,590.0,506.1,999.0,823.8,737.0,640.5,834.5,1677.6,615.0,641.4,1094.0,654.7,818.1,863.4,989.0,743.8,1117.5,921.0,1055.15109,806.5183228,858.4895392,724.510018,635.729982,861.5,1018.795013,975.2590623,896.1142831,949.1558431,1019.016321,1380.079306,1724.531325,1305.095807,1359.92734,1249.228927,911.6708025,1238.324959,1433.73257,1339.362669,1228.6,1052.379188,1398.417132,1095.608098,1358.96229,1130.470911,874.3166456,780.3792245,923.8458611,689.8,637.1790622,848.7624527,737.141587,932.2080795,874.7330389,794.9495043,659.9918484,551.6,567.8667268,300.8,772.3583048,None
498.0,504.0,275.0,None,350.0,300.0,350.0,250.0,565.0,478.0,595.0,535.0,521.0,692.0,585.0,562.0,839.0,770.0,920.0,584.0,850.0,965.0,917.0,865.0,654.0,601.0,721.0,654.0,805.0,940.0,702.0,836.0,970.0,607.6,868.0,970.0,806.4,736.8,1051.0,883.8,729.8,900.4,834.6,600.3,787.2,536.0,801.0,510.4,654.0,674.8,642.0,571.2,607.0,477.1,985.2,687.8,723.0,642.5,887.0,1577.6,560.0,686.1,1242.9,716.7,822.3,821.8,1010.0,687.9,808.5,1075.0,1255.359278,626.34,926.1895392,793.7065735,673.3049594,762.5,1056.600694,967.8682417,972.0557079,933.1349775,1227.195456,1380.346068,1617.756465,1511.942155,1326.237241,1386.799766,897.870027,1519.64954,1233.899838,1385.170803,1125.425176,1105.024941,1534.804508,1326.895528,1219.88761,1097.187556,862.8249774,874.4748964,856.9541208,712.7,597.7496845,867.0040758,739.2709107,949.0,966.5454465,1061.582832,649.4375112,544.604256,543.3,386.5955817,759.3,None
501.0,454.0,275.0,None,350.0,300.0,350.0,275.0,565.0,478.0,569.0,521.0,525.0,710.0,573.0,555.0,808.0,775.0,625.0,560.0,850.0,506.0,894.0,835.0,803.0,593.0,747.0,625.0,733.0,856.0,698.0,860.0,883.0,642.6,787.0,1076.0,765.4,669.6,1168.0,1009.8,646.4,834.4,881.6,614.3,730.8,745.0,719.0,575.4,624.0,717.8,622.0,571.2,637.0,467.1,1002.2,694.0,696.0,642.5,879.0,1439.6,581.0,796.8,1228.1,695.85,761.0,845.0,983.0,583.8,664.0,1037.0,1063.871776,698.719982,916.7260959,687.65,655.4916321,959.4665916,1019.359946,1260.997511,1094.324581,966.9833183,1148.60413,1345.812669,1513.60761,1716.787692,1339.641371,1327.733381,901.4990803,1740.08734,1154.641407,1237.47477,1147.39183,1362.96202,1470.243417,1198.049685,1257.921298,1012.691722,905.341515,800.6748423,824.0996755,768.8374752,565.8,797.2999459,775.354193,990.0540668,1560.519712,864.5877005,677.0,426.7543372,540.6667268,349.8,688.6,None
471.0,714.0,275.0,None,350.0,300.0,350.0,275.0,575.0,478.0,619.0,518.0,521.0,728.0,535.0,548.0,756.0,770.0,610.0,585.0,860.0,515.0,869.0,796.0,792.0,567.0,734.0,556.0,684.0,765.0,702.0,977.0,894.0,736.6,718.0,1012.0,721.1,752.9,901.0,915.8,550.4,844.4,837.6,755.5,742.4,1019.0,1169.0,497.4,597.0,683.8,669.0,604.2,619.0,438.1,993.2,713.0,660.0,622.5,884.0,1106.6,594.0,1156.0,1195.75,627.47,875.3,894.3,1033.4,511.4,748.9,1005.7,1076.938413,693.6131831,1486.630585,751.6382507,641.7883228,946.93,976.895735,1180.731181,903.8708206,1223.037493,1200.374932,1222.700261,1612.212173,1592.329225,1526.941227,1520.68303,896.1407755,1576.616375,1336.066384,1321.129306,1115.583246,1009.436565,1426.480947,1024.99156,1180.996104,983.8791524,852.8916592,797.1417132,823.9582687,764.795816,666.2245268,728.9166817,737.1916321,976.5163572,1397.408061,794.8876645,681.4458431,561.9165735,535.1374392,386.9,753.1,None
