Year, 1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
FA_Mag,None,1787.0264908935455,None,None,705.0419951442981,571.9910069908964,None,None,None,None,989.9295999424456,None,None,None,None,1023.9935856825368,1792.9817828189373,2702.02111409426,None,None,1790.0753261806171,1100.0050829011798,None,1099.9960068194575,1288.9912260761257,1251.998683702942,1193.9761265873915,892.9991909614048,1229.990234959434,1093.9780989379149,None,None,1103.9665352097293,2928.9956238731347,1295.9798250421932,None,None,1514.9256836658337,3027.2826116502365,None,1320.68552231267,None,None,None,None,2666.914728037365,None,1063.856215718758,1516.6970566850039,1252.0059557222771,1130.5711337483206,None,None,1047.0776234611917,1787.9694872743842,None,1234.9978359696397,None,1680.0240475936773,1464.899936121613,None,2691.4451926571724,2538.9633273766754,None,1622.9617282078416,2842.9635888005846,None,None,1582.5981984330544,2123.964471585908,1701.5572777924008,1529.884843041702,8111.039542622709,None,1560.5932243227194,1644.7140941293399,1812.623284721473,1446.3559135936662,2076.5803269083362,2006.5026726477063,None,2490.717614087496,2693.1943416848817,2896.623688158424,3555.0022244073402,None,1425.8612613224063,2134.5236634001703,2031.9934969627207,2165.20174666063,1775.414923602099,2342.2690431387787,None,None,None,None,None,None,None,1255.8171450949988,1230.9345214835762,1367.4721028596473,None,None,1560.4607365062325,3092.555515508664,None,None,925.5363481399247,665.5045970082939,None,None
FA_Tim,None,65,None,None,67,70,None,None,None,None,55,None,None,None,None,74,42,65,None,None,49,39,None,72,66,68,51,49,42,62,None,None,56,39,61,None,None,34,73,None,26,None,None,None,None,48,None,38,1,51,47,None,None,14,57,None,13,None,42,0,None,10,70,None,70,29,None,None,0,63,71,36,2,None,63,11,48,2,73,59,None,20,60,46,17,None,67,62,46,10,60,48,None,None,None,None,None,None,None,48,55,45,None,None,7,3,None,None,25,30,None,None
FA_Dur,None,5,None,None,6,8,None,None,None,None,8,None,None,None,None,4,2,5,None,None,5,10,None,6,8,3,3,4,7,3,None,None,4,3,3,None,None,4,5,None,7,None,None,None,None,3,None,5,8,3,4,None,None,6,6,None,5,None,9,1,None,5,5,None,7,3,None,None,3,4,2,2,3,None,8,2,4,4,2,2,None,2,4,3,2,None,2,4,4,3,2,3,None,None,None,None,None,None,None,4,8,3,None,None,4,2,None,None,6,4,None,None
Wet_BFL_Mag_10,385.8,2395.0,1160.0,None,752.0,1128.0,1090.0,706.5,1784.5,1060.0,1691.0,2226.8,1773.6,1884.0,969.4,1126.4,3263.8,1374.0,2252.6,1506.8,1284.0,1668.0,2591.2,1619.4,1409.5,2050.0,1003.4,781.4,1655.2,1175.7,800.2,1883.0,1797.8000000000002,2227.7,2865.0,1537.4,1078.15,2143.0,4150.2,2015.6000000000001,2644.6000000000004,2452.0,1369.8000000000002,901.6,3032.9,1143.62,1961.5,784.7,3424.8,1452.42,867.2,1096.48,1215.4,2374.0,2963.8,1230.8,1487.5,1443.8,2037.4,986.4,1317.4,3985.4000000000005,2699.0,1466.8200000000002,2307.6,3110.1,1461.4,2289.4,931.702,4089.2,1608.9975546,3608.0512748,2366.3016662,872.8549648200001,1718.7299474000001,2733.0480435,2387.2425874,1287.6215653000002,2704.8329092,6600.54193,2419.5979265,3455.4393693,3960.2528852000005,3753.919445,1652.8565228,1329.0660935,1676.6951741,1929.915484,3332.8423350000003,3547.4397019000003,2561.792966,2490.3059044,1672.0197569,2155.2499982,1933.38752,3285.640988,1071.583751,2726.8678594,None,2321.595636,1503.270334,2733.3355204,1285.4404395,2088.3331872,2623.4713436,2682.4294611,2554.520649,1311.7971111,1121.4419587,772.25016764,1207.2585304999998,None
Wet_BFL_Mag_50,1005.0,7505.0,3780.0,None,1120.0,3385.0,1800.0,2880.0,3517.5,1858.0,4640.0,5396.0,6795.0,6124.0,3918.0,5622.0,13042.0,4610.0,6840.0,7960.0,6730.0,4617.5,8884.0,6106.0,5065.5,7771.0,2905.0,2300.0,5048.0,4130.5,2420.0,5748.5,7109.0,8911.5,7955.0,3999.5,2747.0,9898.0,10196.0,3919.0,10199.0,8455.0,3065.5,2712.5,5655.0,5860.0,2516.25,2040.9,8912.0,3285.5,2819.6,2331.0,2784.0,6546.0,10920.3,2945.0,5822.0,5930.0,8760.0,3207.0,2470.85,9265.1,4066.5,3002.5,6380.6,6198.5,2547.1,3024.0,1892.1,13473.0,4721.687466,9738.573454,6350.112515999999,1828.470839,3607.603787,10982.90325,10664.560505,3078.888936,8382.300126,10783.22478,5279.9529485,12556.71569,7867.686727,11096.635465,3237.888151,3699.9152700000004,3699.875356,7062.515853,8305.2594225,7371.872985,7227.753941,5078.214825,4057.5943549999997,4496.606421,3061.633039,8252.5849955,2727.266619,5287.889467999999,None,3527.650243,4317.7534,8694.7743195,2176.4101805,4689.487322,6804.012768,8503.193364499999,8383.384997,3548.402922,3809.547412,1395.179369,4306.536537,None
Wet_Tim,101,117,104,None,73,104,60,106,120,88,105,100,101,125,105,86,117,76,108,108,77,80,97,98,103,92,78,97,87,121,87,119,98,83,106,62,80,106,89,85,123,108,99,95,106,92,31,105,102,103,78,115,75,98,95,92,62,87,82,71,101,102,73,104,101,86,95,79,45,100,106,104,96,87,76,89,96,92,94,106,84,64,82,90,77,41,78,73,82,72,96,62,99,66,67,106,71,88,None,100,64,92,86,64,76,104,95,90,70,95,91,None
Wet_BFL_Dur,189,46,69,None,111,64,97,182,38,67,55,77,69,53,65,63,39,97,63,65,67,98,59,89,56,71,87,64,85,48,50,54,47,98,57,100,80,41,65,98,47,47,67,54,58,84,128,53,68,68,70,157,87,91,79,73,116,63,55,74,50,75,76,125,73,62,51,97,258,68,49,57,72,149,87,76,72,72,77,71,66,102,83,76,185,110,90,97,66,102,51,113,42,93,81,68,81,58,None,51,101,58,208,95,85,34,61,74,80,177,66,None
Peak_2,11196.0,11196.0,11196.0,None,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,11196.0,None
Peak_5,16258.194712,16258.194712,16258.194712,None,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,16258.194712,None
Peak_10,18380.639314,18380.639314,18380.639314,None,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,18380.639314,None
