Year, 1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
FA_Mag,None,1172.9567998259488,620.3052960894091,None,535.70285047137,571.9685021855512,1609.9956549396136,None,1050.0020296020534,None,1107.0208287158446,1147.6981941777706,950.9980012050389,1415.6926436140025,1186.567440654307,1276.4741208955168,2792.9448214848335,2702.0107233048407,1512.7270643821646,1494.5078848427743,1956.8034558987413,1251.3617336131047,2255.512984091844,1532.321019312505,1646.102475867639,2170.633987436128,1588.1109151652117,1666.9032232098484,1936.2770339666777,1794.7902773743729,2265.6770007204304,1423.3379588983414,1698.9506056400076,3375.9741638844794,1598.6304253892781,2889.236784015788,1837.315061530328,1976.7284674429773,2274.2059013383696,None,None,None,1651.8007519456266,None,1914.6322581387954,1566.3639393954604,None,1213.2675603097682,1595.5198086101686,1298.8928692577947,1157.9778661145426,None,1101.1102249821513,1124.9926224512305,1791.3885596425937,1401.3725643324678,None,1343.3517480940054,1893.695280636783,None,1129.3546597145457,2840.4048921428393,None,3840.682752648392,1930.815409713846,2996.544082124459,None,1835.671226591466,1769.3629272065632,1673.460591737578,1904.2673724613492,1861.0984865156656,8349.523880290364,1912.2325708503272,1725.1758458936108,1728.8319710152296,2066.1032292710943,1841.5239800208626,2076.57694459517,None,2310.4052635018884,2985.0907101769512,2916.226010023888,3250.2216894181524,4006.220364689928,2079.9784169651716,1994.2171873072955,2458.9676759058875,2438.461483439204,2822.5439195910103,2618.468658015078,2497.8362371224666,3079.85292404559,2301.72970588549,None,None,1784.1765636485877,2143.5926994076563,1685.369673952062,1931.595190337489,1279.1580710623177,1436.3556267720362,1236.4518625854985,None,1592.7379572731124,3157.008375305144,None,None,925.5847068561217,665.5256618961727,None,None
FA_Tim,None,12,23,None,42,72,1,None,15,None,4,38,54,16,21,21,44,67,0,1,0,48,7,7,2,1,0,0,6,3,1,2,5,41,0,7,13,36,1,None,None,None,18,None,36,11,None,31,3,53,49,None,33,16,59,20,None,32,43,None,50,11,None,73,61,31,None,39,0,8,6,38,4,1,66,13,19,3,75,None,0,1,62,48,5,12,9,16,48,13,69,50,32,49,None,None,30,27,2,51,57,45,71,None,9,5,None,None,27,32,None,None
FA_Dur,None,5,2,None,2,8,2,None,3,None,2,3,3,2,2,3,3,5,5,6,8,3,3,3,1,2,1,2,4,1,2,1,2,3,1,4,4,4,1,None,None,None,5,None,4,4,None,3,4,3,5,None,3,2,6,2,None,4,8,None,2,6,None,2,4,3,None,3,5,4,4,5,2,1,5,2,2,4,4,None,3,3,3,4,4,3,4,3,4,3,4,3,2,6,None,None,2,2,3,5,4,4,3,None,4,2,None,None,6,4,None,None
Wet_BFL_Mag_10,531.0,1873.5,1160.0,None,752.0,1128.0,1230.0,706.5,1784.5,1060.0,1868.0,1731.8111048,1773.6,1909.8739626000001,1741.8000000000002,2393.47398,2357.5047224,1374.0,2252.6,1506.8,1284.0,1251.8,1701.7478414,1427.2,2025.6,2174.0,1925.4,712.2,2337.0,1572.7840835,998.4000000000001,1644.5,1063.7378028,2299.2368008,4659.346778,2461.695813,1383.9067846,3390.8828666,3445.8198616,1714.3564781999999,2777.9653318,2791.0,1615.1673576,1964.018394,3622.241651,1751.9335027,2434.3999999999996,1417.5173519,1925.1609732,1619.4245292,1205.7606058000001,1099.664024,1391.652479,2695.9648843000004,6217.400000000001,1249.0525016,2070.686904,1505.4219446,2077.8349858,2098.776185,1354.220102,3350.3522805000002,2296.2590036,1605.5477512,2378.3823424,3113.6,1582.0613116,1231.2573683,1024.8826374,4396.7634043,1507.3212968,3868.3711658,1766.750371,945.005986,1718.7299474000001,2032.112029,6073.5899973000005,939.6303732,2696.6965372000004,7086.9743129,2569.2264529,3643.6471676,3081.8736721,3871.824831,2130.3837495,1554.5780430999998,1457.527537,3355.3140516,3360.7343724,3750.177062,2657.583409,3808.1053523,1651.8451903,1803.072796,2382.6290529999997,2391.016966,1010.8818709999999,2001.8432956000001,None,2438.6377392,1405.13737,1465.490049,1594.6723474,2088.3331872,2623.4713436,2682.4294611,2554.520649,1300.4383266,1121.4419587,772.25016764,1207.2585304999998,None
Wet_BFL_Mag_50,3460.0,6545.0,3780.0,None,1120.0,3385.0,2260.0,2880.0,3605.0,1858.0,5503.773342,5473.0,6795.0,6606.0,4618.0,6140.378557,7982.5,4610.0,6840.0,7960.0,6730.0,4345.0,4066.0,4378.981294,6293.206747,4708.7792014999995,3240.390404,1932.0,6316.9370285,6240.898372,2537.0,4216.5,8553.079271999999,9410.5,8633.210664,4586.336265,2454.0096144999998,13019.4552,10075.63999,4355.834084,10642.63707,9237.49414,2969.979731,3857.501352,5867.646229,5624.5,3336.0755630000003,2677.0491995,5986.48428,3627.154026,2931.6668170000003,2667.550676,2772.559733,7127.76748,11678.779330000001,2255.007465,5678.0,3898.4657829999996,4701.0,3470.5,2535.5797119999997,9337.610302000001,3791.358857,3253.659765,6400.6,6198.5,3022.4,3041.5,2047.31295,13651.0,4665.1590275,9757.605643,5685.566294,1986.813597,3621.342241,9228.317801,12004.33872,2907.065573,8142.982452,10867.104115,6013.943889,12921.26355,7615.225836,11375.000465000001,3763.386641,3970.6305270000003,3660.900721,7062.515853,8590.637764,7781.125158,7371.221943,10266.919135,3052.555064,4675.358766,4465.034363000001,6317.553616,2727.266619,4651.40025,None,3869.192173,4285.298977500001,8400.5876295,3020.4042885,4689.487322,6804.012768,8503.193364499999,8383.384997,3534.269793,3809.547412,1395.179369,4306.536537,None
Wet_Tim,264,106,106,None,75,106,78,108,122,90,111,96,103,127,114,91,99,78,110,110,79,54,79,83,112,84,89,102,102,132,92,101,97,85,110,68,63,112,78,68,118,107,72,69,108,81,32,119,76,106,80,105,74,101,104,58,58,65,74,77,103,103,66,106,101,88,103,70,40,102,102,107,86,95,78,66,108,81,91,109,94,68,77,90,88,50,69,91,83,75,98,109,91,64,84,95,67,78,None,102,61,88,94,66,78,106,97,91,72,97,93,None
Wet_BFL_Dur,25,62,69,None,111,64,81,182,38,67,55,85,69,53,60,101,62,97,63,65,67,127,75,183,50,190,143,174,72,46,47,74,38,68,79,81,94,37,77,117,57,51,99,171,58,98,166,120,95,67,70,169,91,90,72,109,120,90,65,70,50,76,85,125,75,62,45,108,262,68,54,57,84,141,87,101,62,85,97,70,58,100,90,78,176,102,101,59,67,101,51,68,94,101,66,129,87,70,None,53,106,64,200,95,85,34,61,75,80,177,66,None
Peak_2,12260.264185,12260.264185,12260.264185,None,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,12260.264185,None
Peak_5,17531.459696,17531.459696,17531.459696,None,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,17531.459696,None
Peak_10,23330.18645,23330.18645,23330.18645,None,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,23330.18645,None
