1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
None,437.838934,310.083787,500.0,None,240.0,350.0,250.0,450.0,540.0,505.0,972.069335,518.0,735.0,658.1677868,1302.053242,960.0,1057.891494,1833.506376,1057.552214,1975.433121,902.8215205,16787.32905,655.0,2711.035125,1092.038374,983.2236803,743.041867,1002.256612,5600.753423,1039.72016,721.3880269,907.9859203,1118.34536,1102.797067,1163.547387,792.224347,1185.528775,1513.950881,1357.744534,1070.450134,1268.259281,1359.840535,1629.745401,826.6684536,981.4682365,1059.9964,704.7125069,625.3831735,767.1174401,599.9125601,690.9699809,692.1440533,476.4807298,1108.169227,931.5139468,1207.110427,953.8340057,1083.634457,1571.689381,635.841981,737.4043786,1182.819289,833.8304534,926.3758244,946.2954917,1639.944,1235.209994,1659.747993,1164.859582,1119.909258,1093.279274,1248.591779,821.5490136,724.8831758,1015.169731,1956.620315,1083.395333,1507.971346,2064.006716,1714.091265,1994.586329,1863.99198,1868.652922,2527.200115,1394.103608,1140.298226,1365.538839,2398.104507,1890.349298,1690.780302,1504.74686,1882.593878,1435.144933,1332.392192,1471.487048,1109.233015,1243.551034,1296.528368,1053.622543,755.2528337,1155.987923,910.2482513,1067.318107,918.1707099,925.882643,823.9190608,813.1601373,593.2412534,477.5001983,725.0,591.1002343
None,416.1186673,285.0103737,500.0,None,240.0,350.0,250.0,450.0,540.0,515.0,849.251202,507.1853067,725.0,1009.339943,826.9456566,966.0,976.0174135,1512.726934,1256.153494,1956.803735,942.9683472,1276.209601,916.055734,1182.118774,867.744667,1624.136461,1688.093368,912.2166936,860.2690938,1215.7796,769.5523736,1025.160747,1117.307332,1633.598966,1493.94718,1148.809897,1259.269282,1427.006827,1320.184589,1576.156536,1485.947469,1106.766934,1035.488,793.6649602,898.5521831,1120.574027,674.7209069,759.0685411,803.1248663,639.9908801,716.6202063,727.7503467,496.8338765,1032.462933,1013.632827,1050.444,914.5922407,1018.651707,1586.759387,707.4530227,793.9903095,1203.588044,759.5909031,912.6569882,897.5549148,1583.218411,1104.311982,1769.363824,1199.782449,979.4505676,1134.394463,1207.189682,754.3779144,720.5229771,1078.395694,1582.407332,1050.259678,1592.339921,2059.112609,2369.381665,2341.62618,2011.814585,1761.502117,1956.190148,1285.652584,1227.678705,1486.073339,1792.226843,2383.391039,1598.921817,1650.249272,1821.283784,1720.014085,1579.392868,1625.681514,1075.330055,1128.555102,1250.9626,1024.902564,701.041166,943.728738,826.5977213,1187.491423,905.730766,823.5411736,889.8880003,865.7091362,462.0,406.9749324,745.7,550.6751126
None,379.9298673,284.992907,500.0,None,240.0,1610.0,250.0,590.1361872,540.0,520.0,891.4050682,421.0,928.4318821,806.0256062,610.0279467,910.0,967.8950402,1489.454294,1494.510028,1783.968134,960.4543473,1475.973978,963.1746671,1473.976637,2176.647529,889.1677337,795.1537603,1014.33208,856.0313338,2268.847565,807.6083202,1203.04536,1059.433198,1113.00688,987.2942671,795.7467204,1104.525126,2387.941313,1170.44048,1057.641067,1231.878134,1068.864854,942.5068803,1292.993245,883.725067,1118.988288,671.6908269,840.3181944,698.6265335,704.7281894,580.1286667,746.8972,487.93776,1005.462933,869.0454135,972.5342135,800.4593868,1090.53632,1624.181388,651.1657416,942.5460738,1166.644274,694.3909031,877.7590667,897.8516534,1259.952791,1121.136616,1723.503983,1410.053122,1001.64192,926.6555761,1330.401223,1912.287923,706.1375044,1041.970908,1307.158441,1071.575246,1065.051332,1393.033709,1937.896701,3091.069391,2124.49562,1949.631261,1725.562534,1352.592954,1442.914223,1731.753191,1800.752926,1863.859265,1574.273011,1755.370549,1800.320369,1262.907083,1526.728212,1443.126271,1128.691835,1154.293574,1079.789351,1081.406089,713.3792824,733.310459,900.823982,1217.271036,930.7182007,843.3733336,886.6095181,798.3583861,530.0,354.6335076,804.1999639,617.1
None,365.0,300.1607469,500.0,None,240.0,1208.0,250.0,465.1397337,550.0,525.0,917.5589348,520.0,730.0,610.9650134,615.0244534,888.0,955.1817602,1455.328427,1157.803894,1581.052134,924.0802406,1213.066267,1129.866881,1704.092023,1259.753791,935.111787,758.2027203,1000.335574,832.0173604,1021.832054,1423.379749,1197.814587,1064.697814,1648.050033,1398.810859,1104.063919,961.5502669,1546.184403,1424.338402,1008.766267,1425.574776,1066.725014,1372.018942,1023.684966,839.762827,1025.518774,856.8541152,1179.794226,735.6210433,811.144781,502.5286667,703.8503467,489.5251733,1077.403493,805.7517068,931.1916685,760.6767326,1198.123075,1648.793868,675.9082787,750.0231517,1382.044243,645.1262898,910.3614131,926.0515109,1079.948478,1179.324142,1675.135329,1158.128667,930.3698934,966.5840499,1158.185903,817.0744002,737.2029333,1101.887451,1292.344563,1488.658654,982.4482471,1219.099995,1395.72373,1984.463731,1760.189397,2298.813606,1812.328188,1429.306996,1205.534648,1434.394442,1539.443834,2094.176409,1512.633996,1723.387349,1835.118449,1234.157726,1574.216329,1464.628525,1148.918239,1267.201226,1827.673758,1104.395024,888.360829,972.4032944,819.0937553,1171.986708,962.116798,974.3672337,970.0915053,1010.802417,636.0,356.5,789.0,590.1
None,380.0,259.9194936,500.0,None,240.0,833.0,250.0,450.0,560.0,990.0,791.7128014,528.0,715.0,659.3642204,623.1992801,870.0,950.2377069,1363.573227,1075.706027,1467.954267,909.8949339,1293.062774,1205.335414,1353.100355,1083.984565,954.111787,1498.952183,1125.816725,1794.880062,982.7096803,827.9020269,1140.814587,1019.532505,993.9684004,1106.02576,773.6082404,1134.598695,1571.013814,1397.149602,1321.640536,1780.478269,1095.796221,857.9103737,1058.016,1187.628174,1535.566986,740.5955843,1595.558,921.6812062,788.144781,585.1881067,698.4503467,535.8418863,1098.462933,838.3391201,872.8873602,786.9475544,1419.759179,1608.831289,681.7852148,772.4121842,1183.31303,593.1506668,908.9245226,1044.78168,1191.736145,1141.555575,1356.461586,853.03496,1050.197867,1025.690542,1225.635547,837.5149602,749.2400668,908.9799887,1400.306407,1854.620301,1139.739853,1097.389269,1316.46102,1988.291907,1805.970253,1616.331324,1994.777489,1649.974287,1077.463017,1444.27318,1626.582767,1839.248962,1497.896506,1866.226913,1727.989896,1184.283658,1525.04299,1402.215232,1538.077618,1031.126399,1395.179755,995.5479979,767.6456994,1052.748694,889.5430032,1158.716808,866.5426257,913.9138539,1080.443251,922.7251067,591.3208656,416.1376555,730.6165555,611.1
None,550.0,275.0,500.0,None,300.0,955.0,250.0,450.0,490.0,1107.0,745.4541345,525.0,675.0,772.3140489,631.2587201,935.0,810.0593868,1195.349494,937.104694,1311.199067,904.8949339,1266.877467,1084.859947,1368.092023,1200.984565,1719.199394,1024.150267,1061.427945,879.8984804,1170.192956,869.6677602,1117.92648,936.9160002,1414.215739,1480.239526,1130.996052,1132.560747,1583.572536,1411.933334,948.6844538,1190.766934,1583.306909,767.3103737,1026.17544,1248.805895,1245.940884,713.9684536,1340.851707,763.77004,558.0908801,539.7397191,700.1440533,602.9053311,1032.81608,1057.489174,902.2999468,934.1265074,1019.483173,1614.704095,639.9741095,742.9008757,1161.869102,676.9199155,927.6411682,898.3191758,1189.70344,1086.447448,1216.472669,841.9944,1025.790666,948.2120147,8350.166589,819.7399016,777.7660231,1209.310334,1139.702217,1520.258461,1250.160381,1322.623627,1430.338303,1663.245681,1906.600434,1667.01861,2146.067301,1488.843439,1393.414069,1305.815182,1904.882568,1514.664698,1486.931849,1504.047677,1883.6003,1683.947303,1498.44305,1319.497293,1494.623578,1086.404276,1248.400733,994.8453898,861.6826351,1138.742304,907.3621928,1175.982168,918.9633856,1148.840013,964.5314465,544.6789309,576.608422,412.3541208,749.4582507,580.1
505.0,635.0,275.0,None,350.0,300.0,735.0,250.0,450.0,490.0,1075.0,632.1954677,522.8881067,1282.710331,729.780812,686.0683025,947.6573333,816.1747735,1175.33552,870.3040272,1259.352934,880.1746672,1419.894934,1337.441143,887.3426134,718.1502669,1746.080514,853.2062136,1008.932111,884.1362404,1162.248903,870.1432802,1756.910739,985.4600536,1148.00688,1658.637931,1061.950881,1079.322987,1711.985069,1444.149602,912.0641871,1514.773336,1154.510321,769.473307,929.2908269,1167.030408,1141.722394,688.4730291,1139.67688,747.4824801,604.1218961,668.2825676,682.6440533,522.8418863,961.4629333,922.0825512,1069.331121,676.7593868,1062.875017,1655.52487,672.5188882,705.9047736,1163.874189,624.4961153,858.3697449,969.4974958,1086.645825,1051.45927,1201.817431,934.2673418,990.8314737,898.9921004,1070.875273,968.2672453,782.8354631,967.2566032,1529.007053,1373.492141,1256.779717,1212.517184,1410.72484,1657.542012,1724.851492,1735.497325,4101.570873,1447.000839,1045.80299,1452.220651,1365.528707,1481.510325,1444.50968,1404.940295,1781.879567,1638.098289,1573.016991,1336.052901,1381.319547,1083.22845,1042.691366,973.3338493,940.5634667,1183.165531,896.4928003,1128.888142,726.2089967,3275.953923,879.2878726,561.9495736,567.4917583,343.7,754.6458071,None
468.0,559.0,275.0,None,350.0,300.0,955.244002,250.0,540.0,478.0,999.0,673.1954677,501.0,754.8069585,635.9650134,618.2587201,961.7968012,823.2307202,1124.307574,834.2830671,1204.912401,840.1572005,1361.897072,1136.080241,856.2237334,705.0313869,934.230667,1495.023448,1936.377629,884.8425337,1148.420236,1312.854758,1000.829705,929.9264803,1498.001073,1110.361414,1152.326644,1444.014351,1392.804001,1184.387201,1101.669762,1126.657867,1322.848962,1319.644203,1003.014326,1060.170074,1106.865814,722.1460802,1076.623733,801.8918297,606.7908801,713.6286667,622.03776,549.0053311,923.1097867,1032.8608,906.7706579,682.6090402,966.4733868,1634.361282,714.7975696,709.6434561,1190.468055,748.3257978,869.7051636,964.306785,967.4379696,1001.667691,1343.418637,977.5853067,1904.476187,1003.935131,1146.26669,1001.114474,714.0646425,927.9206786,1012.086065,1080.800899,978.3072449,1053.131019,1165.76035,1890.549805,2039.174707,1940.069122,1987.868868,1364.066345,1088.752378,1448.469215,1574.539663,1682.527885,1659.95193,1924.480294,1811.247602,1607.770854,1635.642352,1379.982289,1385.7203,1061.355346,1106.563586,1192.692994,705.3820456,1128.09945,827.353378,1139.753501,777.4306936,1017.716162,887.0062899,653.8244002,515.0,303.8,738.0,None
468.0,404.0,275.0,None,350.0,300.0,1385.174135,250.0,565.0,478.0,1059.628802,525.0,513.0,704.0,813.3140489,789.9529159,882.0,840.0524002,1084.34256,817.0348271,1174.18864,824.9718938,2360.731369,1543.441143,854.3391201,709.269147,903.349547,949.2726403,1018.309065,1525.116477,1124.476183,981.7306936,1009.811094,1165.90122,990.8914937,2934.372013,1100.081385,1075.399415,1329.335467,1648.624269,1367.688589,1162.310321,1160.431207,1166.344411,1112.508154,670.185669,907.7383736,693.2209069,764.2694917,718.9824801,651.8503201,660.1363473,635.6580272,508.2720267,1004.75664,893.0950668,960.9174847,730.3118401,924.8726067,1802.546675,677.4489361,714.3507597,1127.481688,737.3643757,870.7096324,1077.894212,1087.640507,879.3875729,1328.154537,957.2092559,1319.670884,961.6720844,977.1251394,1058.014575,693.5787904,1010.999457,1076.01736,1039.497489,1502.346889,1086.03619,1416.182622,1519.984826,1898.639619,1763.830531,1874.229708,1678.717698,1051.635763,1527.427203,2013.389227,1719.848431,1499.384722,1631.30531,1715.992905,1538.961667,1627.060051,1329.88734,1305.687046,986.8981693,1121.754667,897.9336589,687.1633434,1059.426555,848.2738093,1060.931786,1004.809892,968.4633979,841.921822,687.6209069,567.8667268,300.8,772.3583048,None
498.0,504.0,275.0,None,350.0,300.0,801.0485346,250.0,565.0,478.0,621.2933344,535.0,566.2027734,692.0,625.9650134,840.0123559,1078.398135,856.1677868,1046.07336,820.2551204,1163.947387,1215.02784,1357.767711,1577.423676,1238.093368,1263.037018,917.349547,1455.519282,966.0348803,1161.776107,902.5873069,981.4964269,1147.98592,784.5264803,1483.421158,1220.912454,1216.078585,1098.712002,1322.083734,1226.387201,1014.976877,1488.720243,1159.613814,1143.644377,1076.328811,717.3894136,987.611787,847.2806826,834.0986699,744.9824801,695.5314401,693.8606189,610.73776,515.6481796,992.01608,815.0737877,807.2614935,835.6520709,966.7705868,1676.040507,630.7154129,744.7559358,1285.809822,769.4314401,873.7188534,909.5221717,1108.316572,853.4378826,905.7195113,1684.807307,1349.682104,1030.685033,1543.645173,1167.985194,717.134728,819.0880069,1113.823041,1047.711967,1054.59748,1234.233074,1312.716389,1517.9892,1793.630492,2069.557632,1676.689768,1576.970993,1087.544759,1745.777542,2180.23687,1693.586723,1335.194296,1672.714043,1860.045771,1563.563235,1724.045433,1367.059952,1238.854322,1214.179837,1092.591092,1003.752421,757.9386851,1077.096237,843.3367062,1079.842587,1094.856567,1226.974352,829.9548981,676.7405495,543.3,386.5955817,759.3,None
