Year,tenth,twenty-fifth,fiftieth,seventy-fifth,nintieth
FA_Mag,624.9590403149866,699.0269770121976,864.9266674911256,977.9936859483178,1380.004037777546
FA_Tim,37.0,54.0,65.0,68.0,74.0
FA_Dur,3.0,4.0,6.0,8.0,9.0
Wet_BFL_Mag_10,705.7,884.48,1128.4,1487.225,2100.1000000000004
Wet_BFL_Mag_50,1615.0,2400.0,3511.75,5284.75,6030.3
Wet_Tim,77.9,89.0,98.0,104.75,110.0
Wet_BFL_Dur,46.0,57.5,66.0,76.75,91.10000000000001
Peak_2,7631.0,7631.0,7631.0,7631.0,7631.0
Peak_5,10787.8,10787.8,10787.8,10787.8,10787.8
Peak_10,12950.000000000004,12950.000000000004,12950.000000000004,12950.000000000004,12950.000000000004
Peak_Dur_2,3.0,6.75,17.5,27.25,37.0
Peak_Dur_5,1.0,2.0,8.0,10.0,22.400000000000002
Peak_Dur_10,1.0,1.0,1.0,4.5,15.300000000000002
Peak_Fre_2,1.0,1.0,2.0,2.0,3.0
Peak_Fre_5,1.0,1.0,1.0,2.0,2.8000000000000007
Peak_Fre_10,1.0,1.0,1.0,1.25,2.0
SP_Mag,4459.29,5063.9,7014.5,9036.75,11339.2
SP_Tim,149.9,155.25,164.0,170.75,179.3
SP_Dur,78.3,119.5,163.5,179.75,198.0
SP_ROC,0.03654082857455774,0.039568165613215925,0.0446566015564835,0.04946511081664157,0.05928954511415267
DS_Mag_50,387.85,433.0875,521.25,581.275,653.9649999999999
DS_Mag_90,519.641,592.1,731.25,901.4,1036.7500000000002
DS_Tim,251.0,291.0,328.5,342.0,355.0
DS_Dur_WS,102.7,118.75,138.5,173.25,212.89999999999998
Avg,984.6111890410958,1145.834219178082,1550.9835616438354,1973.0104383561645,2300.461780821918
Std,920.4417220164412,1197.590890721277,1670.784586440152,2315.9602983560258,2666.1894877185778
CV,0.876616651324225,0.9446857880501706,1.0856527189929,1.1904362373951058,1.2748517630851541
DS_No_Flow,0.0,0.0,0.0,0.0,0.0
